image_path,class_label,attributes,caption,instance_id,Unnamed: 5
DL_Group_4/cleaning_broom_cleaning_broom_0001.jpg,cleaning_broom,color:brown;material:plastic;condition:used;size:medium,a used medium brown plastic cleaning broom,cleaning_broom_0001,
DL_Group_4/cleaning_broom_cleaning_broom_0002.jpg,cleaning_broom,color:brown;material:plastic;condition:used;size:medium,a used medium brown plastic cleaning broom,cleaning_broom_0002,
DL_Group_4/cleaning_broom_cleaning_broom_0003.jpg,cleaning_broom,color:brown;material:plastic;condition:used;size:medium,a used medium brown plastic cleaning broom,cleaning_broom_0003,
DL_Group_4/cleaning_broom_cleaning_broom_0004.jpg,cleaning_broom,color:brown;material:plastic;condition:used;size:medium,a used medium brown plastic cleaning broom,cleaning_broom_0004,
DL_Group_4/cleaning_broom_cleaning_broom_0005.jpg,cleaning_broom,color:brown;material:plastic;condition:used;size:medium,a used medium brown plastic cleaning broom,cleaning_broom_0005,
DL_Group_4/cleaning_cleaning cloth_cleaning_cleaning_cloth_0001.jpg,cleaning_cleaning_cloth,color:white;material:cotton;condition:used;size:medium,a used medium white cotton cleaning cloth,cleaning_cleaning_cloth_0001,
DL_Group_4/cleaning_cleaning cloth_cleaning_cleaning_cloth_0002.jpg,cleaning_cleaning_cloth,color:white;material:cotton;condition:used;size:medium,a used medium white cotton cleaning cloth,cleaning_cleaning_cloth_0002,
DL_Group_4/cleaning_cleaning cloth_cleaning_cleaning_cloth_0003.jpg,cleaning_cleaning_cloth,color:white;material:cotton;condition:used;size:medium,a used medium white cotton cleaning cloth,cleaning_cleaning_cloth_0003,
DL_Group_4/cleaning_cleaning cloth_cleaning_cleaning_cloth_0004.jpg,cleaning_cleaning_cloth,color:white;material:cotton;condition:used;size:medium,a used medium white cotton cleaning cloth,cleaning_cleaning_cloth_0004,
DL_Group_4/cleaning_cleaning cloth_cleaning_cleaning_cloth_0005.jpg,cleaning_cleaning_cloth,color:white;material:cotton;condition:used;size:medium,a used medium white cotton cleaning cloth,cleaning_cleaning_cloth_0005,
